2024-05-11 18:05:29,865 INFO    StreamThr :23804 [internal.py:wandb_internal():85] W&B internal server running at pid: 23804, started at: 2024-05-11 18:05:29.864831
2024-05-11 18:05:29,866 DEBUG   HandlerThread:23804 [handler.py:handle_request():158] handle_request: status
2024-05-11 18:05:29,867 INFO    WriterThread:23804 [datastore.py:open_for_write():87] open: /home/allen/projects/snake-rl/wandb/run-20240511_180529-8beoelqy/run-8beoelqy.wandb
2024-05-11 18:05:29,867 DEBUG   SenderThread:23804 [sender.py:send():378] send: header
2024-05-11 18:05:29,868 DEBUG   SenderThread:23804 [sender.py:send():378] send: run
2024-05-11 18:05:30,205 INFO    SenderThread:23804 [dir_watcher.py:__init__():211] watching files in: /home/allen/projects/snake-rl/wandb/run-20240511_180529-8beoelqy/files
2024-05-11 18:05:30,205 INFO    SenderThread:23804 [sender.py:_start_run_threads():1123] run started: 8beoelqy with start time 1715465129.865299
2024-05-11 18:05:30,206 DEBUG   HandlerThread:23804 [handler.py:handle_request():158] handle_request: check_version
2024-05-11 18:05:30,206 DEBUG   SenderThread:23804 [sender.py:send_request():405] send_request: check_version
2024-05-11 18:05:30,299 DEBUG   HandlerThread:23804 [handler.py:handle_request():158] handle_request: run_start
2024-05-11 18:05:30,344 DEBUG   HandlerThread:23804 [system_info.py:__init__():26] System info init
2024-05-11 18:05:30,344 DEBUG   HandlerThread:23804 [system_info.py:__init__():41] System info init done
2024-05-11 18:05:30,344 INFO    HandlerThread:23804 [system_monitor.py:start():194] Starting system monitor
2024-05-11 18:05:30,345 INFO    SystemMonitor:23804 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-11 18:05:30,345 INFO    HandlerThread:23804 [system_monitor.py:probe():214] Collecting system info
2024-05-11 18:05:30,345 INFO    SystemMonitor:23804 [interfaces.py:start():188] Started cpu monitoring
2024-05-11 18:05:30,346 INFO    SystemMonitor:23804 [interfaces.py:start():188] Started disk monitoring
2024-05-11 18:05:30,346 INFO    SystemMonitor:23804 [interfaces.py:start():188] Started gpu monitoring
2024-05-11 18:05:30,347 INFO    SystemMonitor:23804 [interfaces.py:start():188] Started memory monitoring
2024-05-11 18:05:30,347 INFO    SystemMonitor:23804 [interfaces.py:start():188] Started network monitoring
2024-05-11 18:05:30,363 DEBUG   HandlerThread:23804 [system_info.py:probe():150] Probing system
2024-05-11 18:05:30,378 DEBUG   HandlerThread:23804 [system_info.py:_probe_git():135] Probing git
2024-05-11 18:05:30,380 DEBUG   HandlerThread:23804 [system_info.py:_probe_git():143] Probing git done
2024-05-11 18:05:30,380 DEBUG   HandlerThread:23804 [system_info.py:probe():198] Probing system done
